Judul,Link,Kategori,Tanggal Upload
Menaker Ida Fauziah Nilai PMI Wajib Jadi Peserta BPJS Ketenagakerjaan,https://www.cnnindonesia.com/ekonomi/20240830212434-625-1139570/menaker-ida-fauziah-nilai-pmi-wajib-jadi-peserta-bpjs-ketenagakerjaan,Ekonomi,10 hari yang lalu
SIM Indonesia Bisa Dipakai di Luar Negeri Tahun Depan,https://www.cnnindonesia.com/otomotif/20240824220949-579-1137124/sim-indonesia-bisa-dipakai-di-luar-negeri-tahun-depan,Otomotif,14 hari yang lalu
Cara Membuat Surat Keterangan Sehat di Puskesmas untuk Daftar CPNS,https://www.cnnindonesia.com/edukasi/20240820170734-561-1135404/cara-membuat-surat-keterangan-sehat-di-puskesmas-untuk-daftar-cpns,Edukasi,17 hari yang lalu
Sri Mulyani Izinkan Pemda Pakai Dana Transfer Bayar Iuran BPJS Rakyat,https://www.cnnindonesia.com/ekonomi/20240820151054-532-1135336/sri-mulyani-izinkan-pemda-pakai-dana-transfer-bayar-iuran-bpjs-rakyat,Ekonomi,20 hari yang lalu
Jokowi Minta BPOM Tak Ribet soal Aturan Izin Edar Obat & Vaksin di RI,https://www.cnnindonesia.com/nasional/20240820182328-20-1135439/jokowi-minta-bpom-tak-ribet-soal-aturan-izin-edar-obat-vaksin-di-ri,Nasional,20 hari yang lalu
"SIM Format Baru Tahun Ini, Simak 4 Perubahannya",https://www.cnnindonesia.com/otomotif/20240819084936-579-1134640/sim-format-baru-tahun-ini-simak-4-perubahannya,Otomotif,21 hari yang lalu
INFOGRAFIS: 4 Perubahan Desain SIM Tahun Ini,https://www.cnnindonesia.com/otomotif/20240816154248-582-1133926/infografis-4-perubahan-desain-sim-tahun-ini,Otomotif,23 hari yang lalu
"Ada Dispensasi SIM Mati 17 Agustus, Tak Perlu Bikin Baru",https://www.cnnindonesia.com/otomotif/20240816174003-579-1133991/ada-dispensasi-sim-mati-17-agustus-tak-perlu-bikin-baru,Otomotif,23 hari yang lalu
PLTU Suralaya Tidak Bisa Langsung Disuntik Mati,https://www.cnnindonesia.com/ekonomi/20240815082745-85-1133223/pltu-suralaya-tidak-bisa-langsung-disuntik-mati,Ekonomi,25 hari yang lalu
"Polisi Rombak SIM Tahun Ini, Ganti Nomor Sampai Pakai BPJS Kesehatan",https://www.cnnindonesia.com/otomotif/20240815110347-579-1133300/polisi-rombak-sim-tahun-ini-ganti-nomor-sampai-pakai-bpjs-kesehatan,Otomotif,25 hari yang lalu
Perjalanan-Aliran Investasi Rp140 T Hingga IKN Bisa untuk HUT RI,https://www.cnnindonesia.com/ekonomi/20240731141421-92-1127607/perjalanan-aliran-investasi-rp140-t-hingga-ikn-bisa-untuk-hut-ri,Ekonomi,25 hari yang lalu
SIM Mati 17 Agustus Dapat Dispensasi Perpanjangan,https://www.cnnindonesia.com/otomotif/20240815103434-579-1133282/sim-mati-17-agustus-dapat-dispensasi-perpanjangan,Otomotif,25 hari yang lalu
Luhut Ingin Suntik Mati PLTU Suralaya Demi Atasi Polusi Jakarta,https://www.cnnindonesia.com/ekonomi/20240814115057-92-1132832/luhut-ingin-suntik-mati-pltu-suralaya-demi-atasi-polusi-jakarta,Ekonomi,1 bulan yang lalu
Cara Bikin SIM yang Kini Pakai NIK KTP,https://www.cnnindonesia.com/otomotif/20240814091426-579-1132741/cara-bikin-sim-yang-kini-pakai-nik-ktp,Otomotif,1 bulan yang lalu
Apakah 4 Penyakit Mematikan di Indonesia Ditanggung BPJS?,https://www.cnnindonesia.com/ekonomi/20240812201002-78-1132214/apakah-4-penyakit-mematikan-di-indonesia-ditanggung-bpjs,Ekonomi,1 bulan yang lalu
Perpanjang SIM Harus Pakai BPJS dan Tercantum NIK KTP,https://www.cnnindonesia.com/otomotif/20240812205457-579-1132224/perpanjang-sim-harus-pakai-bpjs-dan-tercantum-nik-ktp,Otomotif,1 bulan yang lalu
Bikin SIM Pakai NIK KTP Sudah Berlaku,https://www.cnnindonesia.com/otomotif/20240812150933-579-1132120/bikin-sim-pakai-nik-ktp-sudah-berlaku,Otomotif,1 bulan yang lalu
Menyiapkan Pensiun Pegawai Swasta Agar Tua Tak Merana,https://www.cnnindonesia.com/ekonomi/20240810062816-83-1131440/menyiapkan-pensiun-pegawai-swasta-agar-tua-tak-merana,Ekonomi,1 bulan yang lalu
Daftar 4 Penyakit Mematikan dengan Pengobatan Paling Mahal di RI,https://www.cnnindonesia.com/nasional/20240810004435-20-1131414/daftar-4-penyakit-mematikan-dengan-pengobatan-paling-mahal-di-ri,Nasional,1 bulan yang lalu
Kemenkes Janji Kirim Alkes Canggih ke Daerah: Yang Penting Ada Nakes,https://www.cnnindonesia.com/nasional/20240809200035-20-1131369/kemenkes-janji-kirim-alkes-canggih-ke-daerah-yang-penting-ada-nakes,Nasional,1 bulan yang lalu
VIDEO: Gibran Blusukan ke Tangsel Ditemani Marshel dan Raffi Ahmad,https://www.cnnindonesia.com/tv/20240809175220-407-1131305/video-gibran-blusukan-ke-tangsel-ditemani-marshel-dan-raffi-ahmad,TV,1 bulan yang lalu
"Cakupan JKN Tembus 98%, Indonesia Sabet Predikat UHC Jelang HUT ke-79",https://www.cnnindonesia.com/ekonomi/20240809171833-625-1131298/cakupan-jkn-tembus-98-indonesia-sabet-predikat-uhc-jelang-hut-ke-79,Ekonomi,1 bulan yang lalu
RS Muhammadiyah Bandung Putus Kerja Sama dengan BPJS Kesehatan,https://www.cnnindonesia.com/nasional/20240809131156-20-1131163/rs-muhammadiyah-bandung-putus-kerja-sama-dengan-bpjs-kesehatan,Nasional,1 bulan yang lalu
"Lampaui Target, Kepesertaan BPJS Kesehatan Tembus 98,19 Persen",https://www.cnnindonesia.com/ekonomi/20240808162459-78-1130845/lampaui-target-kepesertaan-bpjs-kesehatan-tembus-9819-persen,Ekonomi,1 bulan yang lalu
Iuran BPJS Kesehatan Bakal Naik pada 2025,https://www.cnnindonesia.com/ekonomi/20240809083412-78-1131048/iuran-bpjs-kesehatan-bakal-naik-pada-2025,Ekonomi,1 bulan yang lalu
BPJS Kesehatan Tambah Dana Rp45 T untuk Layani Peserta pada 2023,https://www.cnnindonesia.com/ekonomi/20240808154600-78-1130819/bpjs-kesehatan-tambah-dana-rp45-t-untuk-layani-peserta-pada-2023,Ekonomi,1 bulan yang lalu
Wapres Usul Warga yang Rajin Bayar Iuran BPJS Kesehatan Dapat Insentif,https://www.cnnindonesia.com/ekonomi/20240808194917-78-1130929/wapres-usul-warga-yang-rajin-bayar-iuran-bpjs-kesehatan-dapat-insentif,Ekonomi,1 bulan yang lalu
Wapres Ingatkan Pengusaha Wajib Daftarkan Karyawan Jadi Peserta BPJS,https://www.cnnindonesia.com/ekonomi/20240808190959-78-1130915/wapres-ingatkan-pengusaha-wajib-daftarkan-karyawan-jadi-peserta-bpjs,Ekonomi,1 bulan yang lalu
Bos BPJS Ungkap Iuran Kelas I dan II Berpotensi Naik Saat KRIS Berlaku,https://www.cnnindonesia.com/ekonomi/20240808174925-78-1130880/bos-bpjs-ungkap-iuran-kelas-i-dan-ii-berpotensi-naik-saat-kris-berlaku,Ekonomi,1 bulan yang lalu
NasDem Resmi Usung Adik Zulhas di Pilgub Bengkulu 2024,https://www.cnnindonesia.com/nasional/20240807123605-617-1130231/nasdem-resmi-usung-adik-zulhas-di-pilgub-bengkulu-2024,Nasional,1 bulan yang lalu
"Perluas Cakupan Jamsostek, BPJS Ketenagakerjaan Dukung Program EKI OJK",https://www.cnnindonesia.com/ekonomi/20240805195009-625-1129555/perluas-cakupan-jamsostek-bpjs-ketenagakerjaan-dukung-program-eki-ojk,Ekonomi,1 bulan yang lalu
Cara Bikin SIM Agustus 2024,https://www.cnnindonesia.com/otomotif/20240801125415-579-1128036/cara-bikin-sim-agustus-2024,Otomotif,1 bulan yang lalu
Kepesertaan BPJS Jadi Syarat Wajib Pembuatan SKCK Mulai Hari Ini,https://www.cnnindonesia.com/ekonomi/20240801080740-78-1127888/kepesertaan-bpjs-jadi-syarat-wajib-pembuatan-skck-mulai-hari-ini,Ekonomi,1 bulan yang lalu
"Iwan Fals, Wanti dan Raib Cerita Anak Tiri di RS Berkat BPJS Kesehatan",https://www.cnnindonesia.com/ekonomi/20240731195022-83-1127777/iwan-fals-wanti-dan-raib-cerita-anak-tiri-di-rs-berkat-bpjs-kesehatan,Ekonomi,1 bulan yang lalu
Kepesertaan JKN Syarat Wajib Penerbitan SKCK Mulai Agustus 2024,https://www.cnnindonesia.com/ekonomi/20240731212847-625-1127818/kepesertaan-jkn-syarat-wajib-penerbitan-skck-mulai-agustus-2024,Ekonomi,1 bulan yang lalu
VIDEO: ARSSI Sumut Tidak Akan Bela 2 RS Pelaku Phantom Billing BPJS,https://www.cnnindonesia.com/tv/20240726175836-407-1125994/video-arssi-sumut-tidak-akan-bela-2-rs-pelaku-phantom-billing-bpjs,TV,1 bulan yang lalu
JKN dan Upaya Memanusiakan Pekerja Industri Film,https://www.cnnindonesia.com/hiburan/20240724172221-220-1125113/jkn-dan-upaya-memanusiakan-pekerja-industri-film,Hiburan,1 bulan yang lalu
VIDEO: BPJS Watch soal Fraud Klaim BPJS: Cari Siapa Otak yang Buat,https://www.cnnindonesia.com/tv/20240726145716-407-1125876/video-bpjs-watch-soal-fraud-klaim-bpjs-cari-siapa-otak-yang-buat,TV,1 bulan yang lalu
"Tim PK-JKN, Upaya BPJS Kesehatan Jaga Program JKN dari Praktik Fraud",https://www.cnnindonesia.com/ekonomi/20240725104911-625-1125343/tim-pk-jkn-upaya-bpjs-kesehatan-jaga-program-jkn-dari-praktik-fraud,Ekonomi,1 bulan yang lalu
VIDEO: KPK-Kemenkes Somasi RS yang Masih Praktik Klaim Fiktif BPJS,https://www.cnnindonesia.com/tv/20240724183119-407-1125144/video-kpk-kemenkes-somasi-rs-yang-masih-praktik-klaim-fiktif-bpjs,TV,2 bulan yang lalu
VIDEO: KPK Usut Dugaan Fraud Klaim BPJS di 3 RS di Jateng dan Sumut,https://www.cnnindonesia.com/tv/20240724183117-407-1125142/video-kpk-usut-dugaan-fraud-klaim-bpjs-di-3-rs-di-jateng-dan-sumut,TV,2 bulan yang lalu
"Kemenkes Ungkap Jenis Fraud Klaim BPJS, Sudah Siapkan Sanksi",https://www.cnnindonesia.com/nasional/20240724181909-12-1125147/kemenkes-ungkap-jenis-fraud-klaim-bpjs-sudah-siapkan-sanksi,Nasional,2 bulan yang lalu
KPK Usut Dugaan Kecurangan Klaim BPJS Kesehatan 3 Rumah Sakit,https://www.cnnindonesia.com/nasional/20240724172141-12-1125112/kpk-usut-dugaan-kecurangan-klaim-bpjs-kesehatan-3-rumah-sakit,Nasional,2 bulan yang lalu
BPJS Ketenagakerjaan & Dukcapil Lanjutkan Kerja Sama Manfaatkan IKD,https://www.cnnindonesia.com/ekonomi/20240724133114-625-1124966/bpjs-ketenagakerjaan-dukcapil-lanjutkan-kerja-sama-manfaatkan-ikd,Ekonomi,2 bulan yang lalu
"OJK Catat Premi Asuransi Nasional Capai Rp210,44 T per Mei 2024",https://www.cnnindonesia.com/ekonomi/20240724125318-78-1124934/ojk-catat-premi-asuransi-nasional-capai-rp21044-t-per-mei-2024,Ekonomi,2 bulan yang lalu
Intip Gaji Komisaris PLN yang Diterima Andi Arief,https://www.cnnindonesia.com/ekonomi/20240724072412-532-1124812/intip-gaji-komisaris-pln-yang-diterima-andi-arief,Ekonomi,2 bulan yang lalu
Sosok Kang DS di Mata Warga Kabupaten Bandung: Sederhana dan Merakyat,https://www.cnnindonesia.com/nasional/20240721184822-293-1123814/sosok-kang-ds-di-mata-warga-kabupaten-bandung-sederhana-dan-merakyat,Nasional,2 bulan yang lalu
BPJS Kesehatan Tingkatkan Cakupan JKN di Ponorogo Melalui Pesiar,https://www.cnnindonesia.com/ekonomi/20240718171700-625-1122889/bpjs-kesehatan-tingkatkan-cakupan-jkn-di-ponorogo-melalui-pesiar,Ekonomi,2 bulan yang lalu
"MyTelkomsel Resmi Jadi Super App, Bisa Apa Saja?",https://www.cnnindonesia.com/teknologi/20240717164622-213-1122419/mytelkomsel-resmi-jadi-super-app-bisa-apa-saja,Teknologi,2 bulan yang lalu
BPJS Ketenagakerjaan Jalin Kerja Sama dengan Kajari Kota Bogor,https://www.cnnindonesia.com/ekonomi/20240716173441-625-1121979/bpjs-ketenagakerjaan-jalin-kerja-sama-dengan-kajari-kota-bogor,Ekonomi,2 bulan yang lalu
Kejati Sulsel dan BPJS Ketenagakerjaan Kolaborasi Genjot Kepatuhan,https://www.cnnindonesia.com/ekonomi/20240716173152-625-1121978/kejati-sulsel-dan-bpjs-ketenagakerjaan-kolaborasi-genjot-kepatuhan,Ekonomi,2 bulan yang lalu
Bos Pabrik Tekstil BUMN Bongkar Akar Krisis hingga Pekerja Dirumahkan,https://www.cnnindonesia.com/ekonomi/20240711195202-92-1120323/bos-pabrik-tekstil-bumn-bongkar-akar-krisis-hingga-pekerja-dirumahkan,Ekonomi,2 bulan yang lalu
VIDEO:Komisi IX Minta Pemerintah Kaji Ulang Penerapan Kris Pasien BPJS,https://www.cnnindonesia.com/tv/20240711144750-407-1120176/videokomisi-ix-minta-pemerintah-kaji-ulang-penerapan-kris-pasien-bpjs,TV,2 bulan yang lalu
Dirut Pabrik Tekstil BUMN Buka Suara usai Rumahkan Ratusan Karyawan,https://www.cnnindonesia.com/ekonomi/20240711124757-92-1120092/dirut-pabrik-tekstil-bumn-buka-suara-usai-rumahkan-ratusan-karyawan,Ekonomi,2 bulan yang lalu
"Gelar Healthkaton 2024, BPJS Kesehatan Jaga Keberlanjutan Layanan JKN",https://www.cnnindonesia.com/ekonomi/20240711112434-625-1120051/gelar-healthkaton-2024-bpjs-kesehatan-jaga-keberlanjutan-layanan-jkn,Ekonomi,2 bulan yang lalu
Mayapada Hospital akan Hadir di Jakarta Timur,https://www.cnnindonesia.com/ekonomi/20240710192009-625-1119816/mayapada-hospital-akan-hadir-di-jakarta-timur,Ekonomi,2 bulan yang lalu
Pabrik Tekstil BUMN yang Rumahkan 500 Pekerja Tunggak BPJS 3 Tahun,https://www.cnnindonesia.com/ekonomi/20240710122802-92-1119588/pabrik-tekstil-bumn-yang-rumahkan-500-pekerja-tunggak-bpjs-3-tahun,Ekonomi,2 bulan yang lalu
Pabrik Tekstil BUMN yang Rumahkan 500 Pekerja Sudah Lama 'Sakit',https://www.cnnindonesia.com/ekonomi/20240710075114-92-1119474/pabrik-tekstil-bumn-yang-rumahkan-500-pekerja-sudah-lama-sakit,Ekonomi,2 bulan yang lalu
"500 Karyawan Pabrik Tekstil BUMN Dirumahkan di DIY, Belasan Kena PHK",https://www.cnnindonesia.com/ekonomi/20240709171143-92-1119304/500-karyawan-pabrik-tekstil-bumn-dirumahkan-di-diy-belasan-kena-phk,Ekonomi,2 bulan yang lalu
Inovasi MPP Kota Palembang Mudahkan Masyarakat Akses Pelayanan Publik,https://www.cnnindonesia.com/nasional/20240708141309-25-1118835/inovasi-mpp-kota-palembang-mudahkan-masyarakat-akses-pelayanan-publik,Nasional,2 bulan yang lalu
Peluang Cuan Bisnis Franchise Modal Kecil dari Es Teh hingga Mi Pedas,https://www.cnnindonesia.com/ekonomi/20240705133912-83-1117948/peluang-cuan-bisnis-franchise-modal-kecil-dari-es-teh-hingga-mi-pedas,Ekonomi,2 bulan yang lalu
"Kreatif Berinovasi, AgenBRILink asal Gresik Sukses Perbaiki Hidup",https://www.cnnindonesia.com/ekonomi/20240705102648-625-1117870/kreatif-berinovasi-agenbrilink-asal-gresik-sukses-perbaiki-hidup,Ekonomi,2 bulan yang lalu
Bagaimana Warga Tidak Punya BPJS Kesehatan Mau Bikin SIM?,https://www.cnnindonesia.com/otomotif/20240704181314-579-1117701/bagaimana-warga-tidak-punya-bpjs-kesehatan-mau-bikin-sim,Otomotif,2 bulan yang lalu
Keluh Warga Urus SIM Pakai BPJS Kesehatan: Kurang Sosialisasi,https://www.cnnindonesia.com/otomotif/20240704141903-579-1117572/keluh-warga-urus-sim-pakai-bpjs-kesehatan-kurang-sosialisasi,Otomotif,2 bulan yang lalu
Berapa Biaya Bikin SIM Pakai BPJS Kesehatan?,https://www.cnnindonesia.com/otomotif/20240704113053-579-1117468/berapa-biaya-bikin-sim-pakai-bpjs-kesehatan,Otomotif,2 bulan yang lalu
Nunggak BPJS Kesehatan Masih Bisa Bikin SIM,https://www.cnnindonesia.com/otomotif/20240703172800-579-1117220/nunggak-bpjs-kesehatan-masih-bisa-bikin-sim,Otomotif,2 bulan yang lalu
FOTO: Urus SIM Pakai BPJS Kesehatan Mulai 1 Juli 2024,https://www.cnnindonesia.com/otomotif/20240703083410-581-1116945/foto-urus-sim-pakai-bpjs-kesehatan-mulai-1-juli-2024,Otomotif,2 bulan yang lalu
Bikin SIM Pakai BPJS Kesehatan Bakal Berlaku di Seluruh Indonesia,https://www.cnnindonesia.com/otomotif/20240703103130-579-1116995/bikin-sim-pakai-bpjs-kesehatan-bakal-berlaku-di-seluruh-indonesia,Otomotif,2 bulan yang lalu
"BPJS Naker Cairkan JHT Pekerja Tekstil Kena PHK Rp385,7 M",https://www.cnnindonesia.com/ekonomi/20240702145006-78-1116689/bpjs-naker-cairkan-jht-pekerja-tekstil-kena-phk-rp3857-m,Ekonomi,2 bulan yang lalu
"VIDEO: Bikin SIM Wajib Pakai BPJS, Humas BPJS: Sudah Diatur dari 2013",https://www.cnnindonesia.com/tv/20240702155701-407-1116725/video-bikin-sim-wajib-pakai-bpjs-humas-bpjs-sudah-diatur-dari-2013,TV,2 bulan yang lalu
BPJS Ketenagakerjaan Kucur Rp184 M untuk Korban PHK per Juni 2024,https://www.cnnindonesia.com/ekonomi/20240702141631-78-1116673/bpjs-ketenagakerjaan-kucur-rp184-m-untuk-korban-phk-per-juni-2024,Ekonomi,2 bulan yang lalu
Cara Mudah Perpanjang SIM Bulan Juli 2024 Tanpa Calo,https://www.cnnindonesia.com/otomotif/20240702140630-579-1116667/cara-mudah-perpanjang-sim-bulan-juli-2024-tanpa-calo,Otomotif,2 bulan yang lalu
28 Perusahaan Garmen-Tekstil Mulai Pangkas Hari Kerja Imbas Lesu Order,https://www.cnnindonesia.com/ekonomi/20240702132341-78-1116635/28-perusahaan-garmen-tekstil-mulai-pangkas-hari-kerja-imbas-lesu-order,Ekonomi,2 bulan yang lalu
Data Apa Saja Harus Dibawa Saat Bikin SIM Pakai BPJS?,https://www.cnnindonesia.com/otomotif/20240702123552-579-1116611/data-apa-saja-harus-dibawa-saat-bikin-sim-pakai-bpjs,Otomotif,2 bulan yang lalu
"Marak PHK, Peserta BPJS Naker di Sektor Tekstil Susut 46 Ribu Orang",https://www.cnnindonesia.com/ekonomi/20240702131313-78-1116627/marak-phk-peserta-bpjs-naker-di-sektor-tekstil-susut-46-ribu-orang,Ekonomi,2 bulan yang lalu
Syarat Perpanjang SIM Pakai BPJS Berlaku 1 Juli 2024,https://www.cnnindonesia.com/otomotif/20240701165650-579-1116315/syarat-perpanjang-sim-pakai-bpjs-berlaku-1-juli-2024,Otomotif,2 bulan yang lalu
Perpanjangan SIM Harus Pakai BPJS Dimulai Hari Ini,https://www.cnnindonesia.com/otomotif/20240701101442-579-1116088/perpanjangan-sim-harus-pakai-bpjs-dimulai-hari-ini,Otomotif,2 bulan yang lalu
BNI Dukung Bisnis Milik Diaspora di Jepang dengan Penyaluran Kredit,https://www.cnnindonesia.com/ekonomi/20240630125907-625-1115895/bni-dukung-bisnis-milik-diaspora-di-jepang-dengan-penyaluran-kredit,Ekonomi,2 bulan yang lalu
Pakar: Ada Indikasi Birokrasi yang Berantakan saat Bangun PDN,https://www.cnnindonesia.com/teknologi/20240629174651-185-1115731/pakar-ada-indikasi-birokrasi-yang-berantakan-saat-bangun-pdn,Teknologi,2 bulan yang lalu
"Sri Mulyani Rinci Penyaluran Bansos 2024 Hingga Tembus Rp70,5 T",https://www.cnnindonesia.com/ekonomi/20240628112051-532-1115230/sri-mulyani-rinci-penyaluran-bansos-2024-hingga-tembus-rp705-t,Ekonomi,2 bulan yang lalu
"Viral Bocor Data di X, BPJS Ketenagakerjaan Sebut Hoaks Diunggah Ulang",https://www.cnnindonesia.com/teknologi/20240627174203-192-1115007/viral-bocor-data-di-x-bpjs-ketenagakerjaan-sebut-hoaks-diunggah-ulang,Teknologi,2 bulan yang lalu
"Was-was Warga Surabaya soal Pemblokiran KK, Tetangga Numpang Alamat",https://www.cnnindonesia.com/nasional/20240627164631-20-1114987/was-was-warga-surabaya-soal-pemblokiran-kk-tetangga-numpang-alamat,Nasional,2 bulan yang lalu
BPJS Apresiasi Komitmen Pemkab Ngawi Perluas Akses Layanan Kesehatan,https://www.cnnindonesia.com/ekonomi/20240627162919-625-1114969/bpjs-apresiasi-komitmen-pemkab-ngawi-perluas-akses-layanan-kesehatan,Ekonomi,2 bulan yang lalu
Jokowi Tunjuk 7 Nama Pansel Calon Anggota Dewan Jaminan Sosial,https://www.cnnindonesia.com/nasional/20240627103414-20-1114754/jokowi-tunjuk-7-nama-pansel-calon-anggota-dewan-jaminan-sosial,Nasional,2 bulan yang lalu
Protes Warga Surabaya saat Kartu Keluarga Masuk Daftar Blokir,https://www.cnnindonesia.com/nasional/20240626191206-20-1114579/protes-warga-surabaya-saat-kartu-keluarga-masuk-daftar-blokir,Nasional,2 bulan yang lalu
Mulai 1 Juni 2025 Nyetir di Negara ASEAN Tak Perlu SIM Internasional,https://www.cnnindonesia.com/otomotif/20240623052908-579-1112977/mulai-1-juni-2025-nyetir-di-negara-asean-tak-perlu-sim-internasional,Otomotif,3 bulan yang lalu
Kewajiban Pekerja Jadi Peserta Tapera Digugat ke MK,https://www.cnnindonesia.com/nasional/20240622160524-12-1112829/kewajiban-pekerja-jadi-peserta-tapera-digugat-ke-mk,Nasional,3 bulan yang lalu
"42 Ribu KK di Surabaya Terancam Diblokir, Klarifikasi hingga 1 Agustus",https://www.cnnindonesia.com/nasional/20240622145414-20-1112809/42-ribu-kk-di-surabaya-terancam-diblokir-klarifikasi-hingga-1-agustus,Nasional,3 bulan yang lalu
UU Tapera Akhirnya Digugat ke MK,https://www.cnnindonesia.com/nasional/20240622091702-12-1112726/uu-tapera-akhirnya-digugat-ke-mk,Nasional,3 bulan yang lalu
SIM Indonesia Diakui di Negara ASEAN Mulai 1 Juni 2025,https://www.cnnindonesia.com/otomotif/20240621153702-579-1112488/sim-indonesia-diakui-di-negara-asean-mulai-1-juni-2025,Otomotif,3 bulan yang lalu
Berapa Batas Usia Anak yang Ditanggung BPJS Kesehatan Orang Tua?,https://www.cnnindonesia.com/edukasi/20240619144205-561-1111519/berapa-batas-usia-anak-yang-ditanggung-bpjs-kesehatan-orang-tua,Edukasi,3 bulan yang lalu
"Catat, Ini Penyakit yang Tidak Ditanggung BPJS Kesehatan",https://www.cnnindonesia.com/edukasi/20240611135507-561-1108490/catat-ini-penyakit-yang-tidak-ditanggung-bpjs-kesehatan,Edukasi,3 bulan yang lalu
Kuasa Hukum WNA Ahli Waris PT Krama Yudha Ajukan Kasasi,https://www.cnnindonesia.com/hiburan/20240614203403-305-1110134/kuasa-hukum-wna-ahli-waris-pt-krama-yudha-ajukan-kasasi,Hiburan,3 bulan yang lalu
Daftar 21 Penyakit yang Pengobatannya Tidak Ditanggung BPJS Kesehatan,https://www.cnnindonesia.com/ekonomi/20240614135919-78-1109954/daftar-21-penyakit-yang-pengobatannya-tidak-ditanggung-bpjs-kesehatan,Ekonomi,3 bulan yang lalu
Daftar Penyakit yang Pengobatannya Ditanggung BPJS Kesehatan,https://www.cnnindonesia.com/ekonomi/20240614142115-78-1109946/daftar-penyakit-yang-pengobatannya-ditanggung-bpjs-kesehatan,Ekonomi,3 bulan yang lalu
"Bupati Klaten Jenguk TKW Puput, Beri Bantuan dan Dukungan Moril",https://www.cnnindonesia.com/hiburan/20240615231402-305-1110426/bupati-klaten-jenguk-tkw-puput-beri-bantuan-dan-dukungan-moril,Hiburan,3 bulan yang lalu
8 Perawatan Gigi yang Ditanggung oleh BPJS Kesehatan,https://www.cnnindonesia.com/edukasi/20240611144040-561-1108521/8-perawatan-gigi-yang-ditanggung-oleh-bpjs-kesehatan,Edukasi,3 bulan yang lalu
Biaya Pembuatan SIM Baru Bergambar Kendaraan Mulai Juli 2024,https://www.cnnindonesia.com/otomotif/20240613081122-579-1109254/biaya-pembuatan-sim-baru-bergambar-kendaraan-mulai-juli-2024,Otomotif,3 bulan yang lalu
Syarat dan Cara Mencairkan BPJS Ketenagakerjaan Offline dan Online,https://www.cnnindonesia.com/edukasi/20240611132639-561-1108450/syarat-dan-cara-mencairkan-bpjs-ketenagakerjaan-offline-dan-online,Edukasi,3 bulan yang lalu
Sri Mulyani Akhirnya Buka Suara soal Tapera: APBN Rp105 T Sudah Masuk,https://www.cnnindonesia.com/ekonomi/20240611151234-532-1108539/sri-mulyani-akhirnya-buka-suara-soal-tapera-apbn-rp105-t-sudah-masuk,Ekonomi,3 bulan yang lalu
"Cara Cek Tunggakan Iuran BPJS Kesehatan lewat WA, Cuma Butuh NIK",https://www.cnnindonesia.com/edukasi/20240611122437-561-1108411/cara-cek-tunggakan-iuran-bpjs-kesehatan-lewat-wa-cuma-butuh-nik,Edukasi,3 bulan yang lalu
