Judul;Link;Tanggal
BPJS: Aplikasi 'Mobile JKN' mudahkan peserta akses layanan kesehatan;https://www.antaranews.com/berita/4223063/bpjs-aplikasi-mobile-jkn-mudahkan-peserta-akses-layanan-kesehatan;29 Juli 2024
KPK telaah perkara dugaan klaim BPJS Kesehatan fiktif tiga rumah sakit;https://www.antaranews.com/berita/4219575/kpk-telaah-perkara-dugaan-klaim-bpjs-kesehatan-fiktif-tiga-rumah-sakit;26 Juli 2024
Dewan Pengawas BPJS: Program PESIAR pertahankan UHC di Kota Manado;https://www.antaranews.com/berita/4217879/dewan-pengawas-bpjs-program-pesiar-pertahankan-uhc-di-kota-manado;26 Juli 2024
Dewas BPJS Kesehatan pastikan kemudahan layanan JKN di Banjarmasin;https://www.antaranews.com/video/4217303/dewas-bpjs-kesehatan-pastikan-kemudahan-layanan-jkn-di-banjarmasin;25 Juli 2024
Perbedaan KIS dan BPJS kesehatan;https://www.antaranews.com/berita/4216311/perbedaan-kis-dan-bpjs-kesehatan;25 Juli 2024
BPJS Kesehatan operasikan layanan keliling di Palembang;https://www.antaranews.com/berita/4215807/bpjs-kesehatan-operasikanlayanan-keliling-di-palembang;25 Juli 2024
Berapa besaran iuran BPJS Ketenagakerjaan? Berikut daftarnya;https://www.antaranews.com/berita/4215719/berapa-besaran-iuran-bpjs-ketenagakerjaan-berikut-daftarnya;25 Juli 2024
Dewas BPJS tekankan Program PESIAR pastikan UHC berjalan di Kendari;https://www.antaranews.com/berita/4215363/dewas-bpjs-tekankan-program-pesiar-pastikan-uhc-berjalan-di-kendari;25 Juli 2024
Dewas: BPJS Kesehatan sekarang sudah hadir lebih cepat;https://www.antaranews.com/berita/4215267/dewas-bpjs-kesehatan-sekarang-sudah-hadir-lebih-cepat;25 Juli 2024
Program BPJS Ketenagakerjaan dan manfaatnya bagi tenaga kerja;https://www.antaranews.com/berita/4213799/program-bpjs-ketenagakerjaan-dan-manfaatnya-bagi-tenaga-kerja;24 Juli 2024
Cara daftar BPJS Kesehatan secara online dan offline;https://www.antaranews.com/berita/4212912/cara-daftar-bpjs-kesehatan-secara-online-dan-offline;24 Juli 2024
Mengenal BPJS Kesehatan: sejarah hingga manfaatnya;https://www.antaranews.com/berita/4212900/mengenal-bpjs-kesehatan-sejarah-hingga-manfaatnya;24 Juli 2024
Layanan online BPJS Kesehatan jadi solusi ampuh sebarkan informasi JKN;https://www.antaranews.com/berita/4207617/layanan-online-bpjs-kesehatan-jadi-solusi-ampuh-sebarkan-informasi-jkn;20 Juli 2024
BPJS Kesehatan Tondano terus tingkatkan mutu layanan JKN;https://www.antaranews.com/berita/4203291/bpjs-kesehatan-tondano-terus-tingkatkan-mutu-layanan-jkn;18 Juli 2024
BPJS Ketenagakerjaan Sumbarriau lindungi 2,2 juta pekerja;https://www.antaranews.com/berita/4203021/bpjs-ketenagakerjaan-sumbarriau-lindungi-22-juta-pekerja;17 Juli 2024
Penyakit akibat polusi udara bebani BPJS Kesehatan hingga Rp13 triliun;https://www.antaranews.com/berita/4199064/penyakit-akibat-polusi-udara-bebani-bpjs-kesehatan-hingga-rp13-triliun;15 Juli 2024
BPJS Kesehatan: Ada tiga wilayah masuk Program DBTFMS di Tanah Papua;https://www.antaranews.com/berita/4197225/bpjs-kesehatan-ada-tiga-wilayah-masuk-program-dbtfms-di-tanah-papua;14 Juli 2024
Luncurkan fitur pengenal wajah, BPJS pastikan data peserta aman;https://www.antaranews.com/video/4187394/luncurkan-fitur-pengenal-wajah-bpjs-pastikan-data-peserta-aman;8 Juli 2024
BPJS Kesehatan beri pelayanan online jangkau warga di pulau penyangga;https://www.antaranews.com/berita/4185996/bpjs-kesehatan-beri-pelayanan-online-jangkau-warga-di-pulau-penyangga;7 Juli 2024
BPJS Kesehatan gelontorkan puluhan triliun untuk pasien jantung;https://www.antaranews.com/berita/4184058/bpjs-kesehatan-gelontorkan-puluhan-triliun-untuk-pasien-jantung;5 Juli 2024
Presiden tinjau layanan BPJS Kesehatan di RSUD Bulukumba;https://www.antaranews.com/berita/4183188/presiden-tinjau-layanan-bpjs-kesehatan-di-rsud-bulukumba;5 Juli 2024
BPJS Kesehatan Palembang dampingi masyarakat penuhi syarat buat SIM;https://www.antaranews.com/berita/4179366/bpjs-kesehatan-palembang-dampingi-masyarakat-penuhi-syarat-buat-sim;3 Juli 2024
BPJS Kesehatan-Polda Sumsel sosialisasikan JKN syarat buat SIM;https://www.antaranews.com/berita/4177617/bpjs-kesehatan-polda-sumsel-sosialisasikan-jkn-syarat-buat-sim;2 Juli 2024
Kejari Tabalong-BPJS Kesehatan Barabai tagih tunggakan iuran JKN;https://www.antaranews.com/berita/4169031/kejari-tabalong-bpjs-kesehatan-barabai-tagih-tunggakan-iuran-jkn;26 Juni 2024
BPJS Kesehatan: Cakupan kepesertaan JKN di Lampung capai 98,77 persen;https://www.antaranews.com/berita/4168527/bpjs-kesehatan-cakupan-kepesertaan-jkn-di-lampung-capai-9877-persen;26 Juni 2024
BPJS Bukittinggi dukung aturan JKN aktif saat pengurusan SIM;https://www.antaranews.com/berita/4163391/bpjs-bukittinggi-dukung-aturan-jkn-aktif-saat-pengurusan-sim;22 Juni 2024
Pemkab Bandung beri jaminan BPJS Ketenagakerjaan kepada 87.000 petani;https://www.antaranews.com/berita/4162137/pemkab-bandung-beri-jaminan-bpjs-ketenagakerjaan-kepada-87000-petani;21 Juni 2024
BPJS sebut status peserta aktif program JKN di DIY capai 88,65 persen;https://www.antaranews.com/berita/4158813/bpjs-sebut-status-peserta-aktif-program-jkn-di-diy-capai-8865-persen;19 Juni 2024
BPJS beri penghargaan badan usaha dan faskes terbaik program JKN;https://www.antaranews.com/berita/4158537/bpjs-beri-penghargaan-badan-usaha-dan-faskes-terbaik-program-jkn;19 Juni 2024
DPR: Harusnya pemerintah bantu putihkan tunggakan peserta BPJS;https://www.antaranews.com/berita/4140396/dpr-harusnya-pemerintah-bantu-putihkan-tunggakan-peserta-bpjs;6 Juni 2024
26 daerah di Jatim 93 persen terlindungi BPJS Kesehatan;https://www.antaranews.com/berita/4134414/26-daerah-di-jatim-93-persen-terlindungi-bpjs-kesehatan;3 Juni 2024
BPJSTK percaya Tapera punya tujuan baik untuk kesejahteraan pekerja;https://www.antaranews.com/berita/4133922/bpjstk-percaya-tapera-punya-tujuan-baik-untuk-kesejahteraan-pekerja;3 Juni 2024
Dirut BPJS Kesehatan cek layanan kesehatan di RSUD Ciracas;https://www.antaranews.com/berita/4126707/dirut-bpjs-kesehatan-cek-layanan-kesehatan-di-rsud-ciracas;29 Mei 2024
Komisi IX DPR sebut sistem KRIS BPJS Kesehatan miliki dua manfaat;https://www.antaranews.com/berita/4114848/komisi-ix-dpr-sebut-sistem-kris-bpjs-kesehatan-miliki-dua-manfaat;21 Mei 2024
BPJS Kesehatan bangun ekosistem anti-fraud dalam Program JKN;https://www.antaranews.com/berita/4114839/bpjs-kesehatan-bangun-ekosistem-anti-fraud-dalam-program-jkn;21 Mei 2024
BPJS Ketenagakerjaan Agam salurkan santunan kematian korban longsor;https://www.antaranews.com/berita/4113765/bpjs-ketenagakerjaan-agam-salurkan-santunan-kematian-korban-longsor;20 Mei 2024
BPJS Kesehatan: Kelas dan tarif KRIS dievaluasi sesuai Perpres 59/2024;https://www.antaranews.com/berita/4105146/bpjs-kesehatan-kelas-dan-tarif-kris-dievaluasi-sesuai-perpres-59-2024;15 Mei 2024
Meningkatkan mutu layanan BPJS Kesehatan melalui KRIS;https://www.antaranews.com/berita/4103919/meningkatkan-mutu-layanan-bpjskesehatanmelalui-kris;14 Mei 2024
Menkes belum teken penghapusan kelas BPJS kesehatan;https://www.antaranews.com/berita/4102716/menkes-belum-teken-penghapusan-kelas-bpjs-kesehatan;14 Mei 2024
Peserta JKN akui layanan gawat darurat BPJS Kesehatan cepat dan mudah;https://www.antaranews.com/berita/4084998/peserta-jkn-akui-layanan-gawat-darurat-bpjs-kesehatan-cepat-dan-mudah;2 Mei 2024
BPJS Ketenagakerjaan bagikan bantuan sembako sambut Hari Buruh;https://www.antaranews.com/berita/4084149/bpjs-ketenagakerjaan-bagikan-bantuan-sembako-sambut-hari-buruh;1 Mei 2024
BPJS Kesehatan raih medali emas atas prestasi dukung pers sehat;https://www.antaranews.com/berita/4083150/bpjs-kesehatan-raih-medali-emas-atas-prestasi-dukung-pers-sehat;30 April 2024
BPJS Kesehatan beri kemudahan lewat layanan terintegrasi;https://www.antaranews.com/berita/4070688/bpjs-kesehatan-beri-kemudahan-lewat-layanan-terintegrasi;23 April 2024
BPJS Ketenagakerjaan imbau perusahaan bayar iuran tepat waktu;https://www.antaranews.com/berita/4064958/bpjs-ketenagakerjaan-imbau-perusahaan-bayar-iuran-tepat-waktu;19 April 2024
BPJS buka posko di Terminal Pulo Gebang guna dukung kenyamanan pemudik;https://www.antaranews.com/berita/4046079/bpjs-buka-posko-di-terminal-pulo-gebang-guna-dukung-kenyamanan-pemudik;5 April 2024
BPJS Kesehatan Padang imbau peserta optimalkan Mobile JKN saat Lebaran;https://www.antaranews.com/video/4038663/bpjs-kesehatan-padang-imbau-peserta-optimalkan-mobile-jkn-saat-lebaran;1 April 2024
Legislator minta pemanfaatan skema guna tingkatkan kepesertaan BPJS;https://www.antaranews.com/berita/4031634/legislator-minta-pemanfaatan-skema-guna-tingkatkan-kepesertaan-bpjs;27 Maret 2024
BPJS Ketenagakerjaan bayar klaim Rp59,8 miliar di Aceh;https://www.antaranews.com/berita/4025205/bpjs-ketenagakerjaan-bayar-klaim-rp598-miliar-di-aceh;23 Maret 2024
Hoaks! Pembagian dana Rp125 juta untuk setiap peserta BPJS Kesehatan;https://www.antaranews.com/berita/4025166/hoaks-pembagian-dana-rp125-juta-untuk-setiap-peserta-bpjs-kesehatan;23 Maret 2024
BPJS Kesehatan: Laporkan jika rumah sakit batasi hari rawat inap;https://www.antaranews.com/berita/4023315/bpjs-kesehatan-laporkan-jika-rumah-sakit-batasi-hari-rawat-inap;22 Maret 2024
Dokter sebut pengobatan glaukoma dapat ditanggung BPJS Kesehatan;https://www.antaranews.com/berita/4022424/dokter-sebut-pengobatan-glaukoma-dapat-ditanggung-bpjs-kesehatan;21 Maret 2024
BPJS Kesehatan Tanjungpinang pastikan peserta bisa berobat pakai KTP;https://www.antaranews.com/berita/4021218/bpjs-kesehatan-tanjungpinang-pastikan-peserta-bisa-berobat-pakai-ktp;21 Maret 2024
BPJS Kesehatan Pangkalpinang tetap melayani di masa libur Lebaran;https://www.antaranews.com/berita/4020999/bpjs-kesehatan-pangkalpinang-tetap-melayani-di-masa-libur-lebaran;21 Maret 2024
BPJS Kesehatan tetap berikan layanan JKN selama libur Lebaran 2024;https://www.antaranews.com/berita/4020708/bpjs-kesehatan-tetap-berikan-layanan-jkn-selama-libur-lebaran-2024;21 Maret 2024
Pasien BPJS Kesehatan dalam kondisi darurat bisa  dilayani dimana saja;https://www.antaranews.com/berita/4020675/pasien-bpjs-kesehatan-dalam-kondisi-darurat-bisa-dilayani-dimana-saja;21 Maret 2024
BPJS Kesehatan Manado memastikan mutu layanan mudah-cepat-setara;https://www.antaranews.com/berita/4020456/bpjs-kesehatan-manado-memastikan-mutu-layanan-mudah-cepat-setara;20 Maret 2024
BPJS Kesehatan Kediri berikan layanan JKN selama libur Lebaran;https://www.antaranews.com/berita/4020420/bpjs-kesehatan-kediri-berikan-layanan-jkn-selama-libur-lebaran;20 Maret 2024
BPJS Kesehatan kejar 5 juta aktivasi per tahun untuk capai UHC;https://www.antaranews.com/berita/4020408/bpjs-kesehatan-kejar-5-juta-aktivasi-per-tahun-untuk-capai-uhc;20 Maret 2024
Ghufron: Kepesertaan BPJS sebagai syarat SKCK bentuk gotong royong JKN;https://www.antaranews.com/berita/4020315/ghufron-kepesertaan-bpjs-sebagai-syarat-skck-bentuk-gotong-royong-jkn;20 Maret 2024
BPJS Kesehatan pastikan peserta JKN terlayani saat mudik Lebaran;https://www.antaranews.com/video/4020006/bpjs-kesehatan-pastikan-peserta-jkn-terlayani-saat-mudik-lebaran;20 Maret 2024
BPJS Kesehatan terapkan prinsip portabilitas JKN saat libur Lebaran;https://www.antaranews.com/berita/4019736/bpjs-kesehatan-terapkan-prinsip-portabilitas-jkn-saat-libur-lebaran;20 Maret 2024
BPJS Kesehatan pastikan peserta JKN tetap terlayani saat mudik lebaran;https://www.antaranews.com/berita/4019625/bpjs-kesehatan-pastikan-peserta-jkn-tetap-terlayani-saat-mudik-lebaran;20 Maret 2024
BPJS Kesehatan tetap buka layanan JKN saat libur Idul Fitri;https://www.antaranews.com/berita/4019466/bpjs-kesehatan-tetap-bukalayanan-jkn-saat-libur-idul-fitri;20 Maret 2024
BPJS Kesehatan Bandarlampung berikan layanan JKN selama libur Lebaran;https://www.antaranews.com/berita/4018974/bpjs-kesehatan-bandarlampung-berikan-layanan-jkn-selama-libur-lebaran;20 Maret 2024
Presiden kunjungi RSUD Sibuhuan Sumut, pastikan layanan BPJS optimal;https://www.antaranews.com/berita/4011309/presiden-kunjungi-rsud-sibuhuan-sumut-pastikan-layanan-bpjs-optimal;15 Maret 2024
Ombudsman RI harap BPJS Ketenagakerjaan lindungi seluruh pekerja;https://www.antaranews.com/berita/4001601/ombudsman-ri-harap-bpjs-ketenagakerjaan-lindungi-seluruh-pekerja;8 Maret 2024
BPJS Tenaga Kerja Muara Enim santuni pekerja korban robohnya girder;https://www.antaranews.com/berita/4000281/bpjs-tenaga-kerja-muara-enim-santuni-pekerja-korban-robohnya-girder;7 Maret 2024
BPJS Kesehatan terapkan AI untuk tingkatkan layanan JKN;https://www.antaranews.com/berita/3999108/bpjs-kesehatan-terapkan-ai-untuk-tingkatkan-layanan-jkn;7 Maret 2024
Pemanfaatan teknologi bukti BPJS Kesehatan komitmen tingkatkan layanan;https://www.antaranews.com/berita/3997209/pemanfaatan-teknologi-bukti-bpjs-kesehatan-komitmen-tingkatkan-layanan;6 Maret 2024
Ekosistem digital BPJS Kesehatan jadi contoh jaminan sosial dunia;https://www.antaranews.com/berita/3997107/ekosistem-digital-bpjs-kesehatan-jadi-contoh-jaminan-sosial-dunia;6 Maret 2024
BSI gandeng BPJS Kesehatan guna permudah pembiayaan faskes;https://www.antaranews.com/berita/3995883/bsi-gandeng-bpjs-kesehatan-guna-permudah-pembiayaan-faskes;5 Maret 2024
RS Bhakti Rahayu-BPJS Kesehatan Denpasar kembali jalin layanan rujukan;https://www.antaranews.com/berita/3993528/rs-bhakti-rahayu-bpjs-kesehatan-denpasar-kembali-jalin-layanan-rujukan;3 Maret 2024
Pengamat nilai syarat BPJS Kesehatan untuk SKCK jadi pendataan efektif;https://www.antaranews.com/video/3988383/pengamat-nilai-syarat-bpjs-kesehatan-untuk-skck-jadi-pendataan-efektif;29 Februari 2024
BPJS: Kepesertaan JKN jadi syarat penerbitan SKCK masih uji coba;https://www.antaranews.com/berita/3987525/bpjs-kepesertaan-jkn-jadi-syarat-penerbitan-skck-masih-uji-coba;28 Februari 2024
Beri santunan, BPJS Naker dan Pemko Lhokseumawe ajak nelayan bergabung;https://www.antaranews.com/video/3987336/beri-santunan-bpjs-naker-dan-pemko-lhokseumawe-ajak-nelayan-bergabung;28 Februari 2024
Pemkot Jaktim raih Paritrana Awards dari BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3985113/pemkot-jaktim-raih-paritrana-awards-dari-bpjs-ketenagakerjaan;27 Februari 2024
BPJS Kesehatan Palembang fasilitasi anggota KPPS berobat;https://www.antaranews.com/berita/3981153/bpjs-kesehatan-palembang-fasilitasi-anggota-kpps-berobat;24 Februari 2024
KPU DKI : BPJS tanggung biaya perawatan KPPS di rumah sakit;https://www.antaranews.com/berita/3979278/kpu-dki-bpjs-tanggung-biaya-perawatan-kpps-di-rumah-sakit;23 Februari 2024
BPJS Ketenagakerjaan target lindungi 45 persen pekerja DIY pada 2024;https://www.antaranews.com/berita/3978324/bpjs-ketenagakerjaan-target-lindungi-45-persen-pekerja-diy-pada-2024;22 Februari 2024
BPJS: 63 persen anggota KPPS dengan risiko kesehatan hipertensi;https://www.antaranews.com/berita/3971799/bpjs-63-persen-anggota-kpps-dengan-risiko-kesehatan-hipertensi;19 Februari 2024
BPJS Kesehatan: Lebih dari 626 ribu petugas pemilu akses layanan JKN;https://www.antaranews.com/berita/3970653/bpjs-kesehatan-lebih-dari-626-ribu-petugas-pemilu-akses-layanan-jkn;18 Februari 2024
BPJS Kesehatan Palu tegaskan petugas pemilu terlindungi program JKN;https://www.antaranews.com/berita/3970560/bpjs-kesehatan-palu-tegaskan-petugas-pemilu-terlindungi-program-jkn;18 Februari 2024
BPJS Kesehatan jamin layanan kesehatan petugas Pemilu yang sakit;https://www.antaranews.com/berita/3969492/bpjs-kesehatan-jamin-layanan-kesehatan-petugas-pemilu-yang-sakit;17 Februari 2024
Gubernur Kaltara berikan jaminan BPJS Ketenagakerjaan bagi petugas TPS;https://www.antaranews.com/berita/3960837/gubernur-kaltara-berikan-jaminan-bpjs-ketenagakerjaan-bagi-petugas-tps;12 Februari 2024
Pemkot Serang gandeng BPJS Ketenagakerjaan lindungi pekerja rentan;https://www.antaranews.com/berita/3953682/pemkot-serang-gandeng-bpjs-ketenagakerjaan-lindungi-pekerja-rentan;7 Februari 2024
Pemkot Jaktim dukung pekerja rentan jadi peserta BPJS Ketenagakerjaan;https://www.antaranews.com/berita/3951627/pemkot-jaktim-dukung-pekerja-rentan-jadi-peserta-bpjs-ketenagakerjaan;6 Februari 2024
BPJS Kesehatan Palembang skrining  riwayat kesehatan petugas pemilu;https://www.antaranews.com/berita/3949356/bpjs-kesehatan-palembang-skrining-riwayat-kesehatan-petugas-pemilu;5 Februari 2024
Komitmen Capres-Cawapres tingkatkan mutu layanan BPJS Kesehatan;https://www.antaranews.com/berita/3935595/komitmen-capres-cawapres-tingkatkan-mutu-layanan-bpjs-kesehatan;27 Januari 2024
BPJS Kesehatan: Peserta JKN di Papua capai 1.607.143 orang;https://www.antaranews.com/berita/3934107/bpjs-kesehatan-peserta-jkndi-papua-capai-1607143-orang;26 Januari 2024
Presiden ingin pastikan KIS/BPJS Kesehatan bermanfaat bagi rakyat;https://www.antaranews.com/berita/3929226/presiden-ingin-pastikan-kis-bpjs-kesehatan-bermanfaat-bagi-rakyat;23 Januari 2024
BPJS Kesehatan: Antrean peserta 30 menit termasuk cepat, dulu 6 jam;https://www.antaranews.com/berita/3926982/bpjs-kesehatan-antrean-peserta-30-menit-termasuk-cepat-dulu-6-jam;22 Januari 2024
BPJS Kesehatan Sorong koordinasi aktifkan kembali ribuan JKN nonaktif;https://www.antaranews.com/berita/3926943/bpjs-kesehatan-sorong-koordinasi-aktifkan-kembali-ribuan-jkn-nonaktif;22 Januari 2024
Jokowi apresiasi layanan BPJS Kesehatan meski harus benahi antrean;https://www.antaranews.com/berita/3926604/jokowi-apresiasi-layanan-bpjs-kesehatan-meski-harus-benahi-antrean;22 Januari 2024
BPJS Kesehatan Palembang buka layanan JKN keliling;https://www.antaranews.com/berita/3923679/bpjs-kesehatan-palembang-buka-layanan-jkn-keliling;19 Januari 2024
"BPJS: Masyarakat di PBD sudah 100 persen ter-""cover"" di dalam JKN";https://www.antaranews.com/berita/3923565/bpjs-masyarakat-di-pbd-sudah-100-persen-ter-cover-di-dalam-jkn;19 Januari 2024
Dirut BPJS Kesehatan sebut vaksinasi DBD di luar tanggungan JKN;https://www.antaranews.com/berita/3921921/dirut-bpjs-kesehatan-sebut-vaksinasi-dbd-di-luar-tanggungan-jkn;18 Januari 2024
BPJS Kesehatan ajak petugas Pemilu manfaatkan skrining kesehatan;https://www.antaranews.com/berita/3914208/bpjs-kesehatan-ajak-petugas-pemilu-manfaatkan-skrining-kesehatan;13 Januari 2024
Mahfud sebut dengan KTP Sakti orang bisa berobat tanpa BPJS;https://www.antaranews.com/berita/3913398/mahfud-sebut-dengan-ktp-sakti-orang-bisa-berobat-tanpa-bpjs;12 Januari 2024
BPJS Ketenagakerjaan Bengkulu berikan perlindungan ke 10 ribu pekerja;https://www.antaranews.com/berita/3910872/bpjs-ketenagakerjaan-bengkulu-berikan-perlindungan-ke-10-ribu-pekerja;11 Januari 2024
BPJS Kesehatan ajak Pemkab Cilacap tingkatkan kepesertaan Program JKN;https://www.antaranews.com/berita/3910650/bpjs-kesehatan-ajak-pemkab-cilacap-tingkatkan-kepesertaan-program-jkn;11 Januari 2024
IHC RSPP sediakan layanan pengobatan kanker dengan BPJS;https://www.antaranews.com/berita/3909222/ihc-rspp-sediakan-layanan-pengobatan-kanker-dengan-bpjs;10 Januari 2024
Gus Imin ingatkan pentingnya BPJS bagi petani;https://www.antaranews.com/berita/3897798/gus-imin-ingatkan-pentingnya-bpjs-bagi-petani;3 Januari 2024
BPJS Kesehatan kembali raih prestasi sebagai Badan Publik Informatif;https://www.antaranews.com/berita/3878850/bpjs-kesehatan-kembali-raih-prestasi-sebagai-badan-publik-informatif;19 Desember 2023
BPJS Kesehatan luncurkan data sampel dukung kebijakan berbasis bukti;https://www.antaranews.com/berita/3878829/bpjs-kesehatan-luncurkan-data-sampel-dukung-kebijakan-berbasis-bukti;19 Desember 2023
BPJS Kesehatan Palangka Raya raih Anugerah Keterbukaan Informasi;https://www.antaranews.com/berita/3876288/bpjs-kesehatan-palangka-raya-raih-anugerah-keterbukaan-informasi;18 Desember 2023
Pemda se-Gorontalo dan BPJS Kesehatan tanda tangani NKRK 2024;https://www.antaranews.com/berita/3876084/pemda-se-gorontalo-dan-bpjs-kesehatan-tanda-tangani-nkrk-2024;18 Desember 2023
BPJS Ketenagakerjaan sosialisasi program di Pasar Induk Beras Cipinang;https://www.antaranews.com/berita/3868287/bpjs-ketenagakerjaan-sosialisasi-program-di-pasar-induk-beras-cipinang;12 Desember 2023
Pemkot Bengkulu tandatangani nota kesepakatan program BPJS gratis;https://www.antaranews.com/berita/3866265/pemkot-bengkulu-tandatangani-nota-kesepakatan-program-bpjs-gratis;11 Desember 2023
BPJS Kesehatan targetkan transformasi mutu layanan;https://www.antaranews.com/berita/3863094/bpjs-kesehatan-targetkan-transformasi-mutu-layanan;8 Desember 2023
Cara BPJS Kesehatan lawan korupsi dan gratifikasi;https://www.antaranews.com/video/3860259/cara-bpjs-kesehatan-lawan-korupsi-dan-gratifikasi;7 Desember 2023
